drawingDate,externalId,numbers,headsTails,jackpotLevel,bonusFactor
2023-09-01T00:00:00Z,21,2 39 51 76 29 34 53 35 43 42 13 9 80 59 73 60 65 61 54 38,tails,minor,3
2023-09-01T00:03:00Z,22,5 50 56 47 26 77 39 21 74 62 75 79 14 69 10 43 13 8 18 76,tails,regular,4
2023-09-01T00:06:00Z,23,39 56 60 23 31 15 3 10 34 51 27 21 40 48 6 52 77 76 69 47,heads,major,1
2023-09-01T00:09:00Z,24,21 9 78 79 18 41 66 37 72 58 27 46 16 13 33 29 50 57 14 11,heads,regular,2
2023-09-01T00:12:00Z,26,60 77 7 68 31 37 63 4 50 69 36 67 20 15 34 12 28 44 57 3,heads,regular,5
2023-09-01T00:15:00Z,27,58 53 35 1 31 9 15 40 13 77 32 3 14 43 7 79 41 24 60 47,heads,minor,1
2023-09-01T00:18:00Z,28,46 59 54 72 44 43 50 61 38 5 1 36 66 47 34 39 42 71 77 53,tails,regular,1
2023-09-01T00:21:00Z,29,70 60 62 15 31 63 68 59 76 72 27 25 6 18 39 30 20 12 10 26,heads,regular,1
2023-09-01T00:24:00Z,30,68 12 43 7 29 80 69 78 22 60 35 10 66 59 38 9 4 77 23 71,evens,regular,2
2023-09-01T00:27:00Z,31,78 65 72 10 18 22 60 31 77 24 61 55 19 74 49 16 75 56 48 57,tails,regular,1
2023-09-01T00:30:00Z,32,56 46 10 16 4 23 32 77 53 76 59 73 65 25 52 2 33 30 26 39,heads,regular,1
2023-09-01T00:33:00Z,33,14 61 3 65 64 68 37 32 8 50 1 79 80 48 73 5 41 63 42 27,tails,regular,1
2023-09-01T00:36:00Z,35,10 20 21 59 64 2 57 62 14 45 73 42 49 65 50 12 26 6 48 3,tails,regular,1
2023-09-01T00:39:00Z,36,42 74 63 27 69 5 28 45 11 3 78 79 21 38 64 6 54 41 39 10,evens,regular,1
2023-09-01T00:42:00Z,37,75 66 15 65 63 42 9 20 40 60 79 80 72 41 74 34 1 62 56 26,tails,regular,1
2023-09-01T00:45:00Z,38,11 48 58 49 25 47 46 70 65 52 1 29 44 36 38 17 59 78 60 40,tails,regular,1
2023-09-01T00:48:00Z,39,32 63 30 67 61 28 44 68 37 48 25 12 22 39 73 18 46 8 24 77,heads,regular,2
2023-09-01T00:51:00Z,40,33 51 27 41 4 52 74 20 65 69 25 43 18 40 36 2 75 78 12 7,heads,minor,4
2023-09-01T00:54:00Z,41,13 15 31 59 3 14 11 71 38 75 7 21 47 74 18 42 17 6 5 70,heads,minor,3
2023-09-01T00:57:00Z,42,80 49 36 16 52 79 54 24 20 29 19 46 22 48 28 25 42 1 74 65,evens,major,3
2023-09-01T01:00:00Z,44,68 11 26 35 23 33 71 25 30 16 36 37 64 47 41 7 27 21 63 67,heads,minor,3
2023-09-01T01:03:00Z,45,1 55 74 26 8 40 36 80 29 67 33 66 49 46 70 54 19 72 14 9,evens,major,4
2023-09-01T01:06:00Z,46,62 78 26 67 70 72 5 30 52 25 44 39 46 79 18 15 56 28 29 58,tails,regular,1
2023-09-01T01:09:00Z,47,1 75 67 53 13 11 23 3 73 52 27 47 31 49 60 69 40 36 10 24,heads,major,2
2023-09-01T01:12:00Z,48,14 55 39 46 50 70 6 34 24 3 35 27 22 33 17 59 52 63 5 74,heads,regular,1
2023-09-01T01:15:00Z,49,76 27 34 53 68 52 66 9 22 70 28 6 77 29 16 30 43 21 54 65,evens,regular,2
2023-09-01T01:18:00Z,50,34 76 55 68 7 54 30 38 41 5 17 73 33 79 43 35 20 16 9 15,heads,minor,3
2023-09-01T01:21:00Z,51,74 8 70 61 37 28 32 31 14 9 23 34 68 7 17 80 11 58 76 40,heads,regular,1
2023-09-01T01:24:00Z,53,69 1 74 56 9 42 4 46 29 73 59 43 75 67 55 14 47 7 27 78,tails,regular,2
2023-09-01T01:27:00Z,54,15 79 24 64 53 18 16 20 71 12 29 45 13 7 66 5 34 25 17 77,heads,regular,2
2023-09-01T01:30:00Z,55,55 72 16 70 80 19 8 37 59 35 71 13 53 5 20 32 39 21 15 18,heads,regular,2
2023-09-01T01:33:00Z,56,40 24 11 39 34 60 78 61 31 41 43 49 33 36 35 52 53 30 20 55,heads,regular,2
2023-09-01T01:36:00Z,57,32 14 35 11 44 53 15 26 12 79 74 25 9 18 68 60 69 42 78 2,heads,minor,2
2023-09-01T01:39:00Z,58,39 65 60 59 7 3 25 62 70 76 17 1 18 54 6 26 57 36 50 38,heads,minor,4
2023-09-01T01:42:00Z,59,76 7 73 66 27 55 22 40 20 46 16 12 23 25 68 63 15 33 47 39,heads,regular,1
2023-09-01T01:45:00Z,60,75 6 23 3 26 2 13 80 78 63 77 1 55 21 65 69 49 41 73 76,tails,regular,2
2023-09-01T01:48:00Z,62,50 40 46 44 15 77 48 3 9 33 18 14 36 75 55 5 47 37 60 21,heads,regular,1
2023-09-01T01:51:00Z,63,39 35 65 42 9 32 79 72 54 80 53 6 52 59 51 7 41 2 5 33,tails,regular,3
2023-09-01T01:54:00Z,64,49 39 32 16 34 40 76 68 37 6 70 10 50 42 51 71 45 52 3 55,tails,regular,2
2023-09-01T01:57:00Z,65,16 32 44 27 75 66 3 70 13 8 26 49 34 31 80 51 4 54 6 22,heads,regular,1
2023-09-01T02:00:00Z,66,21 74 23 56 24 50 18 69 13 33 70 20 31 79 42 26 47 19 51 6,heads,minor,4
2023-09-01T02:03:00Z,67,32 31 28 63 25 80 27 9 70 2 14 22 26 11 65 76 68 62 3 55,heads,minor,4
2023-09-01T02:06:00Z,68,13 78 30 8 63 37 62 21 6 75 42 16 57 67 48 25 51 38 55 23,evens,regular,1
2023-09-01T02:09:00Z,69,52 62 73 19 58 11 7 16 49 60 39 50 80 28 53 44 4 75 77 38,tails,minor,1
2023-09-01T02:12:00Z,71,19 63 43 59 78 62 1 65 41 69 68 24 60 56 7 76 5 52 48 72,tails,regular,2
2023-09-01T02:15:00Z,72,45 63 59 80 79 16 10 39 41 7 36 47 52 21 13 5 9 50 58 28,evens,regular,4
2023-09-01T02:18:00Z,73,59 15 53 18 25 62 32 24 35 10 47 52 17 73 30 61 60 68 56 78,tails,regular,2
2023-09-01T02:21:00Z,74,2 39 71 6 44 70 69 54 12 4 80 33 37 21 42 66 62 53 50 59,tails,minor,1
2023-09-01T02:24:00Z,75,55 21 7 72 40 20 14 68 22 75 15 12 79 53 26 80 77 37 23 13,heads,major,3
2023-09-01T02:27:00Z,76,69 68 56 41 45 75 6 16 26 21 79 64 31 33 40 10 57 19 28 78,evens,regular,4
2023-09-01T02:30:00Z,77,18 68 53 66 34 7 80 43 27 56 57 6 8 37 51 2 71 42 76 5,tails,regular,1
2023-09-01T02:33:00Z,78,18 49 43 1 59 47 78 14 71 8 66 75 77 63 70 29 23 41 69 3,tails,regular,3
2023-09-01T02:36:00Z,80,36 4 30 79 65 45 42 7 48 6 1 33 37 12 51 73 41 70 31 13,heads,minor,2
2023-09-01T02:39:00Z,81,69 24 71 79 7 4 23 39 14 64 70 66 48 12 56 28 22 33 10 76,heads,regular,1
2023-09-01T02:42:00Z,82,22 27 38 35 47 51 63 16 68 42 3 36 80 30 9 1 37 61 72 43,heads,minor,2
2023-09-01T02:45:00Z,83,73 47 55 68 60 8 3 61 24 30 31 79 45 38 80 56 32 21 4 51,tails,regular,1
2023-09-01T02:48:00Z,84,26 10 4 58 78 60 2 45 77 23 67 68 48 40 31 71 29 30 28 72,evens,regular,3
2023-09-01T02:51:00Z,85,54 43 73 61 51 74 21 41 33 42 4 45 52 55 9 75 66 17 23 50,tails,minor,2
2023-09-01T02:54:00Z,86,48 28 36 73 23 78 26 21 61 11 66 62 74 40 54 71 17 55 53 51,tails,regular,2
2023-09-01T02:57:00Z,87,57 41 54 26 13 24 31 59 7 76 2 36 75 8 15 60 58 5 65 70,evens,regular,5
2023-09-01T03:00:00Z,89,32 9 6 19 65 50 2 47 58 35 17 57 54 28 1 71 53 76 43 40,evens,minor,3
2023-09-01T03:03:00Z,90,47 41 57 22 23 72 28 33 63 16 80 37 54 48 1 13 74 75 55 71,tails,minor,1
2023-09-01T03:06:00Z,91,46 51 20 5 16 24 48 57 59 14 49 18 62 77 47 40 72 69 80 70,tails,regular,3
2023-09-01T03:09:00Z,92,2 72 18 78 30 14 31 70 15 4 7 80 13 58 1 5 16 44 54 39,heads,regular,1
2023-09-01T03:12:00Z,93,58 30 75 22 66 9 38 32 76 35 11 74 71 52 17 64 3 67 44 49,tails,major,1
2023-09-01T03:15:00Z,94,61 64 62 21 54 76 17 41 59 67 48 66 8 20 7 37 50 34 63 53,tails,regular,1
2023-09-01T03:18:00Z,95,63 74 4 23 22 77 36 5 43 11 30 38 53 21 78 20 62 40 45 7,heads,regular,2
2023-09-01T03:21:00Z,96,20 54 39 29 11 48 9 16 68 35 49 15 53 75 44 30 14 61 42 56,evens,regular,1
2023-09-01T03:24:00Z,98,53 13 76 14 27 29 23 68 47 71 40 4 24 12 72 65 73 59 35 79,evens,regular,1
2023-09-01T03:27:00Z,99,3 24 19 29 38 18 31 21 22 37 47 59 42 12 44 33 34 57 75 26,heads,regular,1
2023-09-01T03:30:00Z,100,72 69 63 67 17 58 76 20 24 36 11 41 74 45 73 70 1 46 19 52,tails,minor,1
2023-09-01T03:33:00Z,101,42 79 77 8 70 30 52 48 7 46 16 1 54 58 12 74 43 29 24 50,tails,regular,1
2023-09-01T03:36:00Z,102,72 18 70 23 34 11 65 9 66 60 77 57 40 7 33 4 69 73 25 24,heads,regular,1
2023-09-01T03:39:00Z,103,33 54 40 27 34 36 18 55 5 65 57 49 7 2 37 20 39 31 62 76,heads,regular,1
2023-09-01T03:42:00Z,104,38 60 59 41 58 28 5 66 23 76 42 39 10 1 73 44 8 74 2 56,tails,regular,2
2023-09-01T03:45:00Z,105,38 64 66 58 22 76 43 31 44 16 34 72 24 1 11 7 26 46 20 9,heads,regular,1
2023-09-01T03:48:00Z,107,18 57 77 21 5 2 45 56 64 23 69 74 54 26 12 72 67 39 38 48,tails,regular,3
2023-09-01T03:51:00Z,108,77 53 48 50 51 67 27 45 47 34 46 54 11 13 49 61 39 3 23 63,tails,regular,1
2023-09-01T03:54:00Z,109,57 65 54 18 38 29 60 68 34 49 75 26 72 45 14 40 4 33 23 11,heads,regular,1
2023-09-01T03:57:00Z,110,71 13 39 31 51 46 21 74 7 22 6 9 8 47 57 12 80 14 72 61,heads,regular,1
2023-09-01T04:00:00Z,111,72 74 6 1 29 10 50 54 62 34 38 27 20 55 59 18 53 33 58 30,heads,regular,1
2023-09-01T04:03:00Z,112,40 60 43 77 4 45 71 49 67 20 16 3 22 37 63 64 19 44 48 79,tails,minor,2
2023-09-01T04:06:00Z,113,53 61 75 1 44 79 78 71 67 51 56 32 55 57 74 26 34 37 35 46,tails,regular,2
