drawingDate,externalId,numbers,headsTails,jackpotLevel,bonusFactor
2026-03-01T00:01:00Z,993,42 3 71 18 46 75 9 8 12 59 1 26 48 27 2 28 60 66 11 21,heads,regular,1
2026-03-01T00:03:40Z,994,45 47 46 77 7 71 30 55 61 29 18 14 5 12 48 26 66 13 22 34,heads,regular,3
2026-03-01T00:06:20Z,995,71 27 49 41 79 53 22 18 80 78 57 30 65 23 6 9 26 11 15 39,heads,regular,3
2026-03-01T00:09:00Z,996,27 60 13 15 79 58 66 19 78 77 62 10 7 63 65 53 35 36 30 3,evens,minor,3
2026-03-01T00:11:40Z,997,21 10 74 4 34 28 2 25 50 14 3 44 64 13 35 40 59 52 45 12,heads,regular,3
2026-03-01T00:14:20Z,998,33 60 49 52 69 59 21 23 76 71 57 67 72 75 80 9 45 74 26 8,tails,regular,3
2026-03-01T00:17:00Z,999,56 1 51 23 15 79 21 66 4 12 68 11 2 36 53 65 24 72 35 17,heads,regular,1
2026-03-01T00:19:40Z,1,19 50 52 76 74 16 34 1 49 59 20 58 17 44 45 80 55 37 22 15,tails,minor,10
2026-03-01T00:22:20Z,2,7 51 59 6 77 2 3 8 24 5 78 44 58 46 50 31 45 36 63 79,tails,minor,4
2026-03-01T00:25:00Z,3,38 35 11 39 41 26 40 68 7 24 76 29 5 22 61 59 51 27 47 65,heads,regular,2
2026-03-01T00:27:40Z,4,59 73 64 33 9 56 6 36 62 52 27 23 17 20 18 49 13 57 54 29,heads,regular,3
2026-03-01T00:30:20Z,5,17 14 20 56 39 72 58 36 6 63 41 23 8 27 46 71 67 2 61 55,evens,regular,5
2026-03-01T00:33:00Z,6,60 65 66 38 14 9 16 22 11 6 2 20 56 18 10 40 28 52 1 70,heads,minor,2
2026-03-01T00:35:40Z,7,6 9 78 43 55 66 50 48 45 61 2 41 76 12 22 57 40 39 38 30,tails,regular,1
2026-03-01T00:38:20Z,8,16 12 63 65 70 42 44 47 62 60 56 54 34 61 79 35 53 49 58 48,tails,regular,3
2026-03-01T00:41:00Z,9,47 4 32 41 48 69 21 14 12 3 35 40 80 70 62 20 59 43 79 33,evens,regular,1
2026-03-01T00:43:40Z,10,58 2 56 32 20 9 25 38 69 8 61 75 71 45 67 41 62 36 19 24,evens,regular,1
2026-03-01T00:46:20Z,11,69 28 45 60 42 39 32 4 1 79 24 68 3 38 31 58 33 80 10 50,heads,regular,3
2026-03-01T00:49:00Z,12,6 41 47 34 67 61 23 30 36 7 18 32 28 77 12 70 50 27 54 15,heads,regular,2
2026-03-01T00:51:40Z,13,57 27 75 43 61 56 2 79 65 64 24 38 60 45 4 55 53 9 78 7,tails,regular,1
2026-03-01T00:54:20Z,14,9 50 18 43 23 45 37 35 25 11 72 76 39 21 68 59 4 60 1 69,heads,regular,1
2026-03-01T00:57:00Z,15,60 58 55 25 3 4 22 63 73 61 8 27 2 79 24 31 68 23 13 70,heads,minor,4
2026-03-01T00:59:40Z,16,40 41 10 52 69 61 73 8 2 78 45 37 74 49 1 62 20 24 36 39,evens,regular,3
2026-03-01T01:02:20Z,17,4 28 61 19 75 23 38 15 68 65 77 60 24 58 2 6 74 11 13 36,heads,regular,3
2026-03-01T01:05:00Z,18,51 57 1 67 25 56 26 23 17 47 43 75 15 29 20 31 32 22 8 68,heads,regular,1
2026-03-01T01:07:40Z,19,17 68 20 71 80 19 73 65 27 66 5 50 14 3 18 11 6 58 42 57,evens,regular,3
2026-03-01T01:10:20Z,20,8 1 35 23 70 2 13 63 22 21 5 52 19 14 38 75 30 31 58 44,heads,regular,3
2026-03-01T01:13:00Z,21,25 41 18 79 16 78 43 35 20 61 73 28 1 30 51 8 50 31 22 53,heads,minor,3
2026-03-01T01:15:40Z,22,64 61 33 44 23 20 54 34 22 70 13 53 42 41 18 40 78 27 74 69,tails,regular,2
2026-03-01T01:18:20Z,23,18 64 80 21 55 27 38 52 8 43 20 73 51 13 4 72 31 49 76 78,tails,regular,1
2026-03-01T01:21:00Z,24,25 13 51 62 68 24 29 26 44 21 79 47 15 34 3 57 53 60 54 6,evens,regular,2
2026-03-01T01:23:40Z,25,9 32 79 49 39 60 67 8 21 44 59 25 48 20 80 68 28 61 78 30,tails,regular,1
2026-03-01T01:26:20Z,26,11 48 65 9 13 7 16 73 74 12 75 21 45 44 68 4 24 61 22 69,evens,regular,3
2026-03-01T01:29:00Z,27,15 29 37 71 74 30 24 5 1 36 33 59 70 68 50 23 67 72 27 38,heads,minor,3
2026-03-01T01:31:40Z,28,27 29 24 43 26 69 8 2 56 55 1 19 74 70 41 5 6 17 72 23,heads,minor,3
2026-03-01T01:34:20Z,29,61 10 67 29 9 55 37 45 46 27 19 15 43 72 12 28 63 11 73 50,evens,minor,4
2026-03-01T01:37:00Z,30,9 64 68 29 34 52 56 27 45 50 67 72 33 24 4 15 71 78 8 44,tails,minor,3
2026-03-01T01:39:40Z,31,24 70 44 47 20 62 72 26 15 45 28 64 10 37 66 49 34 74 4 46,tails,regular,1
2026-03-01T01:42:20Z,32,76 9 1 67 8 42 12 79 18 61 38 49 58 36 60 56 52 24 71 20,tails,regular,1
2026-03-01T01:45:00Z,33,11 21 28 68 56 48 25 71 29 13 6 63 62 55 8 52 59 77 10 70,tails,minor,1
2026-03-01T01:47:40Z,34,42 34 74 18 39 71 29 11 46 54 5 16 6 41 19 58 1 68 24 40,heads,regular,2
2026-03-01T01:50:20Z,35,60 26 20 70 23 38 79 47 40 43 32 73 59 78 72 15 41 58 75 6,tails,minor,3
2026-03-01T01:53:00Z,36,24 63 25 38 56 59 1 28 35 50 17 45 52 48 41 71 40 51 32 58,tails,regular,1
2026-03-01T01:55:40Z,37,59 34 29 37 6 15 71 57 38 62 67 35 44 68 65 66 7 64 72 74,tails,minor,3
2026-03-01T01:58:20Z,38,25 9 10 6 28 39 49 14 50 79 22 27 78 2 7 70 18 29 34 5,heads,minor,2
2026-03-01T02:01:00Z,39,52 31 61 72 41 13 35 33 51 19 10 16 48 1 15 45 6 63 42 53,evens,regular,3
2026-03-01T02:03:40Z,40,48 5 18 61 64 25 3 70 27 29 1 11 49 44 54 31 75 38 8 20,heads,regular,1
2026-03-01T02:06:20Z,41,43 79 34 17 65 51 15 19 80 30 6 29 22 21 45 40 54 4 66 39,heads,regular,1
2026-03-01T02:09:00Z,42,46 8 43 15 42 22 45 27 9 41 78 26 62 61 79 31 16 63 49 73,tails,regular,2
2026-03-01T02:11:40Z,43,70 66 49 74 7 25 46 40 60 48 26 56 18 73 32 76 2 15 20 50,tails,minor,1
2026-03-01T02:14:20Z,44,52 5 42 65 67 6 11 77 2 71 79 69 16 39 72 55 26 37 45 41,tails,minor,1
2026-03-01T02:17:00Z,45,43 54 73 15 50 37 9 35 52 19 40 64 33 24 2 51 36 7 18 26,heads,minor,5
2026-03-01T02:19:40Z,46,59 12 30 64 50 77 19 48 10 69 17 20 40 9 51 47 68 53 66 76,tails,regular,2
2026-03-01T02:22:20Z,47,16 12 22 79 40 78 17 72 59 53 41 51 61 80 4 70 2 21 36 76,tails,major,1
2026-03-01T02:25:00Z,48,26 66 40 6 19 29 67 31 70 18 45 63 79 75 11 27 44 51 54 48,tails,major,1
2026-03-01T02:27:40Z,49,41 66 7 26 62 80 4 46 21 32 17 12 39 29 57 40 60 8 23 63,heads,regular,1
2026-03-01T02:30:20Z,50,59 43 57 51 36 37 2 73 32 6 14 22 55 67 64 3 53 76 41 71,tails,regular,4
2026-03-01T02:33:00Z,51,31 28 57 53 11 6 59 22 7 69 1 67 10 39 2 25 3 52 37 32,heads,regular,1
2026-03-01T02:35:40Z,52,54 58 76 65 50 5 18 10 38 40 78 19 55 53 64 15 9 48 44 3,tails,minor,1
2026-03-01T02:38:20Z,53,52 45 36 79 63 26 18 70 64 28 49 2 3 11 61 60 9 72 19 78,tails,regular,2
2026-03-01T02:41:00Z,54,11 48 75 44 30 65 55 54 74 38 49 77 66 35 31 43 51 79 8 36,tails,regular,1
2026-03-01T02:43:40Z,55,9 15 58 75 79 76 16 2 46 70 29 7 4 5 33 78 11 52 41 32,heads,regular,2
2026-03-01T02:46:20Z,56,1 46 54 77 11 27 3 72 66 10 33 64 56 4 7 70 60 35 65 2,evens,minor,3
2026-03-01T02:49:00Z,57,68 36 54 7 63 27 20 51 12 3 5 49 57 37 23 29 6 24 33 65,heads,regular,1
2026-03-01T02:51:40Z,58,46 30 35 28 31 50 75 51 57 33 71 44 22 6 59 48 52 40 32 69,tails,regular,1
2026-03-01T02:54:20Z,59,39 18 37 61 9 73 11 23 1 32 75 52 60 15 21 43 78 2 66 20,heads,regular,1
2026-03-01T02:57:00Z,60,36 25 12 14 72 70 22 79 8 30 69 46 48 1 38 33 34 60 31 62,heads,minor,4
