drawingDate,externalId,numbers,headsTails,jackpotLevel,bonusFactor
2024-02-01T00:00:00Z,723,8 7 35 53 25 26 43 24 73 15 45 71 50 66 30 70 21 48 47 46,tails,regular,2
2024-02-01T00:03:00Z,724,1 9 51 43 26 54 5 76 78 35 68 24 28 22 10 50 49 30 70 45,evens,regular,3
2024-02-01T00:06:00Z,725,59 72 54 38 74 49 36 68 12 16 26 30 44 73 53 41 19 67 10 52,tails,major,1
2024-02-01T00:09:00Z,726,55 20 29 36 14 21 70 28 80 67 44 1 78 46 7 56 52 48 49 4,tails,minor,10
2024-02-01T00:12:00Z,728,16 79 1 69 15 5 64 3 71 75 2 67 21 55 80 13 14 59 49 11,evens,minor,4
2024-02-01T00:15:00Z,729,3 61 80 31 5 42 21 45 1 72 44 47 2 63 18 43 64 57 25 41,tails,regular,1
2024-02-01T00:18:00Z,730,68 73 48 66 18 74 4 38 25 30 11 20 26 67 37 15 3 23 72 5,heads,regular,1
2024-02-01T00:21:00Z,731,60 33 18 45 54 24 38 70 19 80 63 13 39 78 58 21 23 28 11 42,heads,regular,2
2024-02-01T00:24:00Z,732,39 2 47 34 52 76 20 4 18 25 19 24 35 32 45 21 78 63 14 30,heads,regular,1
2024-02-01T00:27:00Z,733,34 12 63 77 73 46 8 21 66 15 74 64 27 20 65 6 24 23 49 3,heads,regular,3
2024-02-01T00:30:00Z,734,33 52 42 66 20 32 48 69 18 13 12 29 11 35 78 26 4 9 58 10,heads,regular,3
2024-02-01T00:33:00Z,735,32 28 76 62 59 27 20 29 16 45 78 72 51 9 42 24 30 55 22 64,evens,regular,3
2024-02-01T00:36:00Z,737,80 70 38 41 67 75 26 55 76 66 8 25 34 51 28 6 22 13 39 36,heads,minor,3
2024-02-01T00:39:00Z,738,64 34 57 65 22 33 4 44 76 56 52 27 47 28 17 8 71 13 75 74,tails,regular,3
2024-02-01T00:42:00Z,739,15 73 12 70 76 78 62 23 41 65 18 11 9 52 14 46 2 71 45 50,tails,regular,3
